gbifID,scientificName,family,order,eventDate,basisOfRecord,decimalLatitude,decimalLongitude,stateProvince,datasetName,recordedBy,n_individuals,X,Y
5076978588,"Penelope obscura Temminck, 1815",Cracidae,Galliformes,2025-02-15T10:16,HUMAN_OBSERVATION,-20.097112,-43.487902,Minas Gerais,iNaturalist research-grade observations,filipeprates,5,658090.2428738014,7777055.297194971
2716224182,"Synallaxis albescens Temminck, 1823",Furnariidae,Passeriformes,2016-10-15,HUMAN_OBSERVATION,-19.52946,-43.73666,Minas Gerais,,obsr3541,7,632548.598389779,7840098.72007939
4810941891,"Chaetura meridionalis Hellmayr, 1907",Apodidae,Apodiformes,2023-11-03,HUMAN_OBSERVATION,-20.34504,-46.86136,Minas Gerais,,obsr1149399,6,305693.68330693664,7749238.22244161
5329354708,"Sporophila nigricollis (Vieillot, 1823)",Thraupidae,Passeriformes,2024-01-29,HUMAN_OBSERVATION,-20.098928,-43.49928,Minas Gerais,,obsr3066956,9,656898.6503140766,7776865.034611004
5346541228,"Coryphospingus pileatus (Wied-Neuwied, 1821)",Thraupidae,Passeriformes,2024-07-16,HUMAN_OBSERVATION,-20.325893,-46.83702,Minas Gerais,,obsr2661064,3,308211.5650104912,7751386.47036794
2801899862,"Daptrius Vieillot, 1816",Falconidae,Falconiformes,2016-10-16,HUMAN_OBSERVATION,-19.52946,-43.73666,Minas Gerais,,obsr3541,10,632548.598389779,7840098.72007939
5583380038,"Myiozetetes similis (Spix, 1825)",Tyrannidae,Passeriformes,2024-02-03,HUMAN_OBSERVATION,-19.606527,-43.495632,Minas Gerais,,obsr1359206,4,657766.2083815779,7831364.345306104
5354560939,"Crypturellus obsoletus (Temminck, 1815)",Tinamidae,Tinamiformes,2024-01-27,HUMAN_OBSERVATION,-20.15265,-43.520786,Minas Gerais,,obsr753626,5,654596.9984089466,7770938.651325583
5164044310,"Cissopis leverianus (J.F.Gmelin, 1788)",Thraupidae,Passeriformes,2025-05-07T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,4,658080.9597998535,7777023.389103258
4634902643,"Leptotila verreauxi Bonaparte, 1855",Columbidae,Columbiformes,2023-11-04,HUMAN_OBSERVATION,-20.34504,-46.86136,Minas Gerais,,obsr1149399,3,305693.68330693664,7749238.22244161
5164096351,"Amazilia versicolor (Vieillot, 1818)",Trochilidae,Apodiformes,2025-05-07T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,8,658080.9597998535,7777023.389103258
5547215125,"Piranga flava (Vieillot, 1822)",Cardinalidae,Passeriformes,2024-02-04,HUMAN_OBSERVATION,-19.643545,-43.52514,Minas Gerais,,obsr1359206,4,654635.6731366977,7827294.054843359
2727048718,"Sporophila caerulescens (Vieillot, 1823)",Thraupidae,Passeriformes,2016-10-14,HUMAN_OBSERVATION,-19.52946,-43.73666,Minas Gerais,,obsr3541,9,632548.598389779,7840098.72007939
5694722817,"Leptotila verreauxi Bonaparte, 1855",Columbidae,Columbiformes,2024-07-18,HUMAN_OBSERVATION,-20.332607,-46.83823,Minas Gerais,,obsr2661064,9,308093.49329704023,7750641.770944715
2186850905,"Myiothlypis flaveola S.F.Baird, 1865",Parulidae,Passeriformes,2016-10-15,HUMAN_OBSERVATION,-19.52946,-43.73666,Minas Gerais,,obsr3541,4,632548.598389779,7840098.72007939
5070117882,"Pyriglena leucoptera (Vieillot, 1818)",Thamnophilidae,Passeriformes,2025-02-14T15:31,HUMAN_OBSERVATION,-20.100337,-43.485638,Minas Gerais,iNaturalist research-grade observations,filipeprates,4,658323.7439801265,7776696.169828283
2715232764,"Piranga flava (Vieillot, 1822)",Cardinalidae,Passeriformes,2016-10-15,HUMAN_OBSERVATION,-19.52946,-43.73666,Minas Gerais,,obsr3541,2,632548.598389779,7840098.72007939
5164144402,"Elaenia sordida J.T.Zimmer, 1941",Tyrannidae,Passeriformes,2025-05-07T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,8,658080.9597998535,7777023.389103258
5164104344,"Myiothlypis leucoblephara (Vieillot, 1817)",Parulidae,Passeriformes,2025-05-07T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,2,658080.9597998535,7777023.389103258
5355094550,"Colonia colonus (Vieillot, 1818)",Tyrannidae,Passeriformes,2024-01-29,HUMAN_OBSERVATION,-20.097754,-43.48859,Minas Gerais,,obsr1426674,9,658017.6551628779,7776984.886085302
3745700122,"Cypsnagra hirundinacea (R.Lesson, 1831)",Thraupidae,Passeriformes,1974-02-08,PRESERVED_SPECIMEN,-19.513611,-43.744722,Minas Gerais,,Ivan Sazima,3,631715.4776308604,7841859.0227122335
5070091391,"Daptrius Vieillot, 1816",Falconidae,Falconiformes,2025-02-15T08:00,HUMAN_OBSERVATION,-20.09906,-43.49931,Minas Gerais,iNaturalist research-grade observations,filipeprates,5,656895.3817539485,7776850.451714985
5164064319,"Cranioleuca pallida (Wied-Neuwied, 1831)",Furnariidae,Passeriformes,2025-05-07T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,9,658080.9597998535,7777023.389103258
2799168919,"Pionus maximiliani (Kuhl, 1820)",Psittacidae,Psittaciformes,2016-10-16,HUMAN_OBSERVATION,-19.52946,-43.73666,Minas Gerais,,obsr3541,1,632548.598389779,7840098.72007939
3233622336,"Sicalis flaveola (Linnaeus, 1766)",Thraupidae,Passeriformes,2020-02-22,HUMAN_OBSERVATION,-20.343294,-46.84829,Minas Gerais,,obsr1127182,10,307056.24726230686,7749446.884850265
4837081596,"Brotogeris chiriri (Vieillot, 1818)",Psittacidae,Psittaciformes,2023-11-05,HUMAN_OBSERVATION,-20.34504,-46.86136,Minas Gerais,,obsr1149399,7,305693.68330693664,7749238.22244161
5840487554,"Lepidocolaptes squamatus (Lichtenstein, 1822)",Furnariidae,Passeriformes,2025-08-30T13:13,HUMAN_OBSERVATION,-20.101688,-43.492851,Minas Gerais,iNaturalist research-grade observations,Gabriel CAUCANAS,1,657568.1518573341,7776553.462936118
5346843474,"Columbina squammata (R.Lesson, 1831)",Columbidae,Columbiformes,2024-02-04,HUMAN_OBSERVATION,-19.643545,-43.52514,Minas Gerais,,obsr1359206,1,654635.6731366977,7827294.054843359
5346390122,"Tyrannus savana Vieillot, 1808",Tyrannidae,Passeriformes,2024-12-07,HUMAN_OBSERVATION,-20.339453,-46.83927,Minas Gerais,,obsr2661064,1,307993.3496410668,7749882.654024154
