gbifID,scientificName,family,order,eventDate,basisOfRecord,decimalLatitude,decimalLongitude,stateProvince,datasetName,recordedBy,n_individuals
5322499799,"Thraupis ornata (Sparrman, 1789)",Thraupidae,Passeriformes,2024-01-06,HUMAN_OBSERVATION,-20.097754,-43.48859,Minas Gerais,,obsr1883460,4
5559132079,"Chrysomus ruficapillus (Vieillot, 1819)",Icteridae,Passeriformes,2024-12-07,HUMAN_OBSERVATION,-20.342236,-46.857098,Minas Gerais,,obsr2661064,5
5164039321,"Saltator similis d'Orbigny & Lafresnaye, 1837",Thraupidae,Passeriformes,2025-05-07T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,9
5070110986,"Hylophilus amaurocephalus (Nordmann, 1835)",Vireonidae,Passeriformes,2025-02-14T17:11,HUMAN_OBSERVATION,-20.101632,-43.484632,Minas Gerais,iNaturalist research-grade observations,filipeprates,2
5630423887,"Troglodytes musculus J.F.Naumann, 1823",Troglodytidae,Passeriformes,2024-02-04,HUMAN_OBSERVATION,-19.606527,-43.495632,Minas Gerais,,obsr1359206,4
5608745582,"Clibanornis rectirostris (M.Wied-Neuwied, 1831)",Furnariidae,Passeriformes,2024-07-18,HUMAN_OBSERVATION,-20.332607,-46.83823,Minas Gerais,,obsr2661064,8
5164032441,"Cathartes aura (Linnaeus, 1758)",Cathartidae,Accipitriformes,2025-05-08T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,6
4660157856,"Aratinga auricapillus (Kuhl, 1820)",Psittacidae,Psittaciformes,2023-08-23,HUMAN_OBSERVATION,-14.96894,-44.047916,Minas Gerais,,obsr1089201,3
5386895768,"Zonotrichia capensis (P.L.S.Müller, 1776)",Passerellidae,Passeriformes,2024-02-04,HUMAN_OBSERVATION,-19.643545,-43.52514,Minas Gerais,,obsr1359206,4
5312096993,"Sicalis flaveola (Linnaeus, 1766)",Thraupidae,Passeriformes,2024-01-07,HUMAN_OBSERVATION,-20.100239,-43.48618,Minas Gerais,,obsr1883460,1
5363296945,"Thraupis sayaca (Linnaeus, 1766)",Thraupidae,Passeriformes,2024-07-16,HUMAN_OBSERVATION,-20.325893,-46.83702,Minas Gerais,,obsr2661064,8
3745700107,"Furnarius rufus (Gmelin, 1788)",Furnariidae,Passeriformes,1974-02-08,PRESERVED_SPECIMEN,-19.513611,-43.744722,Minas Gerais,,Ivan Sazima,4
2217159389,"Columba livia J.F.Gmelin, 1789",Columbidae,Columbiformes,2011-10-04,HUMAN_OBSERVATION,-19.514063,-43.748962,Minas Gerais,,obsr486435,7
5554764925,"Myiozetetes similis (Spix, 1825)",Tyrannidae,Passeriformes,2024-07-16,HUMAN_OBSERVATION,-20.325893,-46.83702,Minas Gerais,,obsr2661064,2
5366318105,"Herpsilochmus atricapillus Pelzeln, 1868",Thamnophilidae,Passeriformes,2024-01-29,HUMAN_OBSERVATION,-20.098928,-43.49928,Minas Gerais,,obsr306297,7
1269823286,"Eupetomena macroura (J.F.Gmelin, 1788)",Trochilidae,Apodiformes,,PRESERVED_SPECIMEN,-19.5,-43.75,Mg,Coleção de Aves do Museu Nacional (MN),Observador Simulado,3
3745700228,"Veniliornis mixtus (Boddaert, 1783)",Picidae,Piciformes,1974-09-04,PRESERVED_SPECIMEN,-19.513611,-43.744722,Minas Gerais,,Otávio Cardozo de Oliveira,4
5164093383,"Fluvicola nengeta (Linnaeus, 1766)",Tyrannidae,Passeriformes,2025-05-08T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,3
3745700564,"Thalurania furcata (J.F.Gmelin, 1788)",Trochilidae,Apodiformes,1974-04-07,PRESERVED_SPECIMEN,-19.513611,-43.744722,Minas Gerais,,Otávio Cardozo de Oliveira,3
